award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
MA-04-09-0393-09,Stearns History Museum,Institute of Museum and Library Services,Office of Museum Services,2009,70000,,"Museums for America (St. Cloud, MN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0393-09,matched via: mfa_exhibit_fab
MA-04-10-0087-10,Weeksville Heritage Center,Institute of Museum and Library Services,Office of Museum Services,2010,142500,,"Museums for America (Brooklyn, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-10-0087-10,matched via: mfa_exhibit_fab
MA-04-10-0311-10,Japanese American National Museum,Institute of Museum and Library Services,Office of Museum Services,2010,137806,,"Museums for America (Los Angeles, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-10-0311-10,matched via: mfa_exhibit_fab
MA-04-10-0424-10,Morris County Park Commission (Historic Speedwell),Institute of Museum and Library Services,Office of Museum Services,2010,87360,,"Museums for America (Morristown, NJ)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-10-0424-10,matched via: mfa_exhibit_fab
MA-04-10-0435-10,Museum of the Aleutians,Institute of Museum and Library Services,Office of Museum Services,2010,138550,,"Museums for America (Unalaska, AK)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-10-0435-10,matched via: mfa_exhibit_fab
MA-04-10-0456-10,Crook County Historical Society,Institute of Museum and Library Services,Office of Museum Services,2010,75000,,"Museums for America (Prineville, OR)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-10-0456-10,matched via: mfa_exhibit_fab
MA-04-11-0118-11,Children's Museum of Winston-Salem,Institute of Museum and Library Services,Office of Museum Services,2011,150000,,"Museums for America (Winston Salem, NC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-11-0118-11,matched via: mfa_exhibit_fab
MA-04-11-0268-11,New York Transit Museum,Institute of Museum and Library Services,Office of Museum Services,2011,150000,,"Museums for America (Brooklyn, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-11-0268-11,matched via: mfa_exhibit_fab
MA-04-11-0269-11,Omaha Children's Museurm,Institute of Museum and Library Services,Office of Museum Services,2011,150000,,"Museums for America (Omaha, NE)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-11-0269-11,matched via: mfa_exhibit_fab
MA-04-11-0450-11,"Museum of Science, Boston",Institute of Museum and Library Services,Office of Museum Services,2011,150000,,"Museums for America (Boston, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-11-0450-11,matched via: mfa_exhibit_fab
MA-04-12-0077-12,Cleveland Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2012,75000,,"Museums for America (Cleveland, OH)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-12-0077-12,matched via: mfa_exhibit_fab
MA-04-12-0266-12,County of Linn,Institute of Museum and Library Services,Office of Museum Services,2012,59636,,"Museums for America (Cedar Rapids, IA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-12-0266-12,matched via: mfa_exhibit_fab
MA-04-12-0274-12,New-York Historical Society,Institute of Museum and Library Services,Office of Museum Services,2012,150000,,"Museums for America (New York, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-12-0274-12,matched via: mfa_exhibit_fab
MA-04-12-0279-12,Long Island Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2012,150000,,"Museums for America (Garden City, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-12-0279-12,matched via: mfa_exhibit_fab
MA-04-12-0328-12,The Strong National Museum of Play,Institute of Museum and Library Services,Office of Museum Services,2012,150000,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-12-0328-12,matched via: mfa_exhibit_fab
MA-10-13-0022-13,USS Constellation Museum,Institute of Museum and Library Services,Office of Museum Services,2013,150000,,"Museums for America (Baltimore, MD)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0022-13,matched via: mfa_exhibit_fab
MA-10-13-0179-13,The Strong National Museum of Play,Institute of Museum and Library Services,Office of Museum Services,2013,149903,,"Museums for America (Rochester, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0179-13,matched via: mfa_exhibit_fab
MA-10-13-0300-13,Calvert Marine Museum,Institute of Museum and Library Services,Office of Museum Services,2013,142500,,"Museums for America (Solomons, MD)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0300-13,matched via: mfa_exhibit_fab
MA-10-13-0360-13,DuPage Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2013,149200,,"Museums for America (Naperville, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0360-13,matched via: mfa_exhibit_fab
MA-10-13-0436-13,New York City Police Museum,Institute of Museum and Library Services,Office of Museum Services,2013,150000,,"Museums for America (New York, NY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0436-13,matched via: mfa_exhibit_fab
MA-10-13-0453-13,San Diego Model Railroad Museum,Institute of Museum and Library Services,Office of Museum Services,2013,149911,,"Museums for America (San Diego, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0453-13,matched via: mfa_exhibit_fab
MA-10-13-0567-13,Port Discovery Children’s Museum,Institute of Museum and Library Services,Office of Museum Services,2013,150000,,"Museums for America (Baltimore, MD)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-13-0567-13,matched via: mfa_exhibit_fab
MA-10-14-0003-14,"Magic House, St. Louis Children's Museum",Institute of Museum and Library Services,Office of Museum Services,2014,150000,,"Museums for America (Saint Louis, MO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-10-14-0003-14,matched via: mfa_exhibit_fab
